# orig_data & Leave1Out
## FBCSP + classifier
逻辑斯蒂回归分类
| abbr.                                      | test_score       | train_score      | params                                                                                                               |
| [20, 24, 28, 32]_16_logeuclid_6            | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [20, 24, 28, 32], 'FBCSP__k': 16, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}            |
| [8, 12]_12_euclid_6                        | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12], 'FBCSP__k': 12, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                        |
| [8, 12]_12_riemann_6                       | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12], 'FBCSP__k': 12, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                       |
| [8, 12]_16_logeuclid_6                     | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12], 'FBCSP__k': 16, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                     |
| [12, 16]_12_euclid_6                       | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [12, 16], 'FBCSP__k': 12, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                       |
| [8, 12]_16_riemann_6                       | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12], 'FBCSP__k': 16, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                       |
| [12, 16]_8_logeuclid_6                     | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                     |
| [12, 16]_8_euclid_6                        | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                        |
| [12, 16]_12_logeuclid_6                    | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [12, 16], 'FBCSP__k': 12, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                    |
| [8, 12]_16_euclid_6                        | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12], 'FBCSP__k': 16, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                        |
