# orig_data & Leave1Out
## FBCSP + classifier train
| abbr.                                                                            | test_score       | train_score      | params                                                                                                                                                                    |
| [8, 12, 16]_2_logeuclid_6_SVC(C=0.5)                                             | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_euclid_8_SVC(C=0.5)                                                | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_2_euclid_6_SVC(C=0.5)                                                | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_2_euclid_2_SVC(C=0.5)                                                | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_2_riemann_8_SVC(C=0.5)                                               | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_logeuclid_8_SVC(C=0.5)                                             | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_euclid_4_SVC(C=0.5)                                                | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_2_riemann_6_SVC(C=0.5)                                               | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_riemann_4_SVC(C=0.5)                                               | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_logeuclid_2_SVC(C=0.5)                                             | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_riemann_2_SVC(C=0.5)                                               | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_riemann_6_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.616 (+/-0.076) | 0.746 (+/-0.029) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_8_riemann_8_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.616 (+/-0.088) | 0.828 (+/-0.025) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_2_logeuclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.615 (+/-0.077) | 0.735 (+/-0.045) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_riemann_2_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.614 (+/-0.075) | 0.796 (+/-0.029) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_2_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.613 (+/-0.075) | 0.755 (+/-0.038) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_logeuclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.613 (+/-0.070) | 0.790 (+/-0.024) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_2_logeuclid_4_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.609 (+/-0.076) | 0.744 (+/-0.038) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_2_riemann_8_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.609 (+/-0.064) | 0.743 (+/-0.039) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
