# ea & Leave1Out
## FBCSP + classifier train
| abbr.                                                                            | test_score       | train_score      | params                                                                                                                                                                    |
| [8, 12, 16]_4_euclid_4_SVC(C=0.5)                                                | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_4_riemann_6_SVC(C=0.5)                                               | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_riemann_4_SVC(C=0.5)                                               | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_riemann_2_SVC(C=0.5)                                               | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.623 (+/-0.072) | 0.781 (+/-0.016) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_4_euclid_6_SVC(C=0.5)                                                | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_4_logeuclid_8_SVC(C=0.5)                                             | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_4_logeuclid_6_SVC(C=0.5)                                             | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_4_euclid_8_SVC(C=0.5)                                                | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_4_logeuclid_4_SVC(C=0.5)                                             | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_8_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.621 (+/-0.070) | 0.805 (+/-0.016) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_2_riemann_8_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.620 (+/-0.089) | 0.742 (+/-0.030) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_2_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.620 (+/-0.090) | 0.740 (+/-0.029) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_8_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.620 (+/-0.082) | 0.813 (+/-0.019) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
